timestamp,cpu_percent,memory_mb,inference_time
1776302956.0970533,0.0,284.4375,234.6432113647461
1776302956.1973958,9.5,286.53125,234.6432113647461
1776302956.2976937,0.0,286.55078125,234.6432113647461
1776302956.3992295,10.3,308.8984375,234.6432113647461
1776302956.4995883,31.7,312.6171875,234.6432113647461
1776302956.5999022,17.9,312.45703125,234.6432113647461
1776302956.7024486,4.9,313.8125,234.6432113647461
1776302956.802809,50.0,707.0703125,234.6432113647461
1776302956.9032133,50.0,1111.14453125,234.6432113647461
1776302957.003591,51.2,1490.2421875,234.6432113647461
1776302957.1039693,50.0,1876.08203125,234.6432113647461
1776302957.2043161,50.0,2128.84375,234.6432113647461
1776302957.3103504,29.5,888.2109375,234.6432113647461
1776302957.439957,24.0,889.33203125,234.6432113647461
1776302957.5421185,26.2,908.25390625,234.6432113647461
1776302957.6426878,25.0,921.04296875,234.6432113647461
1776302957.7430365,35.0,1071.0859375,234.6432113647461
1776302957.8433893,50.0,1517.4140625,234.6432113647461
1776302957.9437413,51.2,1973.46484375,234.6432113647461
1776302958.044067,50.0,2103.4375,234.6432113647461
1776302958.144394,48.8,2103.4375,234.6432113647461
1776302958.244711,50.0,2103.4375,234.6432113647461
1776302958.3450265,50.0,2103.4375,234.6432113647461
1776302958.4453378,45.0,2165.44140625,234.6432113647461
1776302958.545671,50.0,2624.47265625,234.6432113647461
1776302958.6460285,51.2,3084.66015625,234.6432113647461
1776302958.746378,50.0,3545.0,234.6432113647461
1776302958.8467252,48.7,4005.1875,234.6432113647461
1776302958.947061,51.2,4324.88671875,234.6432113647461
1776302959.047385,50.0,4324.88671875,234.6432113647461
1776302959.1477127,50.0,4324.88671875,234.6432113647461
1776302959.2480361,50.0,4324.88671875,234.6432113647461
1776302959.3483512,50.0,4324.88671875,234.6432113647461
1776302959.4486625,50.0,4324.88671875,234.6432113647461
1776302959.5489895,50.0,4324.89453125,234.6432113647461
1776302959.6493223,51.2,4324.89453125,234.6432113647461
1776302959.7496393,50.0,4324.89453125,234.6432113647461
1776302959.849935,30.0,4369.1640625,234.6432113647461
1776302959.9502366,50.0,4842.05859375,234.6432113647461
1776302960.0505803,51.2,5316.0078125,234.6432113647461
1776302960.1509345,50.0,5790.84765625,234.6432113647461
1776302960.2513008,48.7,6265.10546875,234.6432113647461
1776302960.3519266,51.2,6546.03125,234.6432113647461
1776302960.452582,50.0,6546.03125,234.6432113647461
1776302960.5529206,50.0,6985.4453125,234.6432113647461
1776302960.6532953,51.2,7458.36328125,234.6432113647461
1776302960.7536435,48.7,7932.14453125,234.6432113647461
1776302960.8539884,51.2,8404.984375,234.6432113647461
1776302960.954613,48.7,8767.2578125,234.6432113647461
1776302961.0552716,50.0,8767.2578125,234.6432113647461
1776302961.155529,34.1,7406.3046875,234.6432113647461
1776302961.2562058,35.0,6546.28515625,234.6432113647461
1776302961.3565867,51.2,6822.3828125,234.6432113647461
1776302961.456944,50.0,7201.33203125,234.6432113647461
1776302961.5573401,50.0,7583.60546875,234.6432113647461
1776302961.6576755,35.0,6577.78515625,234.6432113647461
1776302961.7580216,48.7,6859.56640625,234.6432113647461
1776302961.8583505,50.0,7143.63671875,234.6432113647461
1776302961.958688,51.2,7427.98046875,234.6432113647461
1776302962.0589857,45.0,7284.9765625,234.6432113647461
