timestamp,cpu_percent,memory_mb,inference_time
1777510966.324667,0.0,418.53515625,232.78901076316833
1777510966.4248953,3.7,420.02734375,232.78901076316833
1777510966.5250611,0.0,420.03125,232.78901076316833
1777510966.62558,2.5,447.94921875,232.78901076316833
1777510966.7258084,13.6,517.390625,232.78901076316833
1777510966.825981,11.2,566.03515625,232.78901076316833
1777510966.9261298,13.6,628.7890625,232.78901076316833
1777510967.0262904,11.4,692.80859375,232.78901076316833
1777510967.1264448,13.6,756.9296875,232.78901076316833
1777510967.2265916,12.5,820.92578125,232.78901076316833
1777510967.3267472,12.5,871.86328125,232.78901076316833
1777510967.4268942,12.5,871.87109375,232.78901076316833
1777510967.5270255,12.5,871.87890625,232.78901076316833
1777510967.6271565,12.5,871.8828125,232.78901076316833
1777510967.7273102,13.6,871.89453125,232.78901076316833
1777510967.8278363,12.3,872.07421875,232.78901076316833
1777510967.9280405,24.1,916.7109375,232.78901076316833
1777510968.028287,24.1,1028.96875,232.78901076316833
1777510968.1285734,22.2,1137.45703125,232.78901076316833
1777510968.228756,12.5,1202.546875,232.78901076316833
1777510968.328981,28.7,1359.953125,232.78901076316833
1777510968.4292638,32.5,1467.11328125,232.78901076316833
1777510968.5295098,28.7,1467.11328125,232.78901076316833
1777510968.6297646,23.8,1467.11328125,232.78901076316833
1777510968.7299957,45.0,1318.6796875,232.78901076316833
1777510968.830258,30.9,1229.90234375,232.78901076316833
1777510968.9304967,17.5,1316.25390625,232.78901076316833
1777510969.0848093,12.2,1331.55859375,232.78901076316833
1777510969.1849616,12.5,1395.5546875,232.78901076316833
1777510969.2851233,12.5,1459.53125,232.78901076316833
1777510969.3852885,12.5,1523.55078125,232.78901076316833
1777510969.4854553,12.3,1587.68359375,232.78901076316833
1777510969.5856018,13.6,1651.7109375,232.78901076316833
1777510969.6858118,11.4,1715.81640625,232.78901076316833
1777510969.7859545,13.6,1779.921875,232.78901076316833
1777510969.8861043,11.4,1843.9921875,232.78901076316833
1777510969.986325,13.6,1908.27734375,232.78901076316833
1777510970.086492,12.5,1972.46484375,232.78901076316833
1777510970.1866298,12.5,2036.7109375,232.78901076316833
1777510970.2867913,11.4,2100.8671875,232.78901076316833
1777510970.386944,13.6,2165.07421875,232.78901076316833
1777510970.487078,12.5,2229.20703125,232.78901076316833
1777510970.58722,11.4,2293.28125,232.78901076316833
1777510970.6873505,12.3,2357.47265625,232.78901076316833
1777510970.7874997,12.5,2421.60546875,232.78901076316833
1777510970.887628,12.5,2485.87890625,232.78901076316833
1777510970.9877687,12.5,2550.0,232.78901076316833
1777510971.0879176,12.5,2614.28125,232.78901076316833
1777510971.1880703,12.5,2678.48046875,232.78901076316833
1777510971.2882135,13.6,2742.64453125,232.78901076316833
1777510971.3883765,12.5,2796.43359375,232.78901076316833
1777510971.488519,12.5,2796.43359375,232.78901076316833
1777510971.588665,12.5,2796.43359375,232.78901076316833
1777510971.6887915,12.5,2796.43359375,232.78901076316833
1777510971.7889428,12.5,2796.43359375,232.78901076316833
1777510971.8890843,12.3,2796.4375,232.78901076316833
1777510971.9892526,12.5,2796.4375,232.78901076316833
1777510972.0894063,12.5,2796.4375,232.78901076316833
1777510972.189571,12.5,2796.4375,232.78901076316833
1777510972.2897036,12.5,2796.4375,232.78901076316833
1777510972.389848,12.5,2796.4375,232.78901076316833
1777510972.4899788,12.5,2796.4375,232.78901076316833
1777510972.5901186,12.5,2796.4375,232.78901076316833
1777510972.690265,12.5,2796.4375,232.78901076316833
1777510972.7903955,12.5,2796.4375,232.78901076316833
1777510972.8905387,12.5,2796.4453125,232.78901076316833
1777510972.99067,12.5,2796.4453125,232.78901076316833
1777510973.0908096,12.3,2796.4453125,232.78901076316833
1777510973.1909328,12.5,2796.4453125,232.78901076316833
1777510973.291084,12.5,2804.45703125,232.78901076316833
1777510973.3912628,13.6,2834.7265625,232.78901076316833
1777510973.4914515,11.4,2910.34765625,232.78901076316833
1777510973.59158,12.5,2960.23046875,232.78901076316833
1777510973.6918216,30.0,3000.24609375,232.78901076316833
1777510973.7920518,22.5,2975.9921875,232.78901076316833
1777510973.8922908,28.8,2975.99609375,232.78901076316833
1777510973.992439,13.6,2975.99609375,232.78901076316833
1777510974.2273083,12.3,2558.9296875,232.78901076316833
1777510974.3274965,11.2,507.75,232.78901076316833
1777510974.427837,1.2,507.75390625,232.78901076316833
1777510974.5280528,1.2,507.7578125,232.78901076316833
1777510974.6536558,10.9,522.3046875,232.78901076316833
1777510974.7546608,12.4,521.765625,232.78901076316833
1777510975.0004282,12.3,542.84375,232.78901076316833
1777510975.1259804,12.4,561.890625,232.78901076316833
1777510975.2363086,13.3,575.25,232.78901076316833
1777510975.4228854,12.4,591.890625,232.78901076316833
1777510975.6283464,12.3,620.88671875,232.78901076316833
1777510975.7285798,19.5,898.8203125,232.78901076316833
1777510975.828752,0.0,899.25,232.78901076316833
1777510975.928939,0.0,899.4375,232.78901076316833
