timestamp,cpu_percent,memory_mb,total_time_sec
1778011159.2512717,0.0,256.13671875,6948.787982940674
1778011159.3515124,5.0,258.61328125,6948.787982940674
1778011159.4516668,5.1,259.84375,6948.787982940674
1778011159.551844,12.2,263.12890625,6948.787982940674
1778011159.6519747,5.1,267.87109375,6948.787982940674
1778011159.7520983,7.7,271.5859375,6948.787982940674
1778011159.8522267,9.8,277.16796875,6948.787982940674
1778011159.9524047,7.7,282.63671875,6948.787982940674
1778011160.070561,15.2,287.7265625,6948.787982940674
1778011160.1713507,9.8,294.36328125,6948.787982940674
1778011160.2715907,7.9,298.046875,6948.787982940674
1778011160.3717177,9.8,301.34375,6948.787982940674
1778011160.4718328,5.1,305.73046875,6948.787982940674
1778011160.905247,2.9,350.890625,6948.787982940674
1778011161.0112987,14.0,354.94140625,6948.787982940674
1778011161.1128538,17.1,358.5859375,6948.787982940674
1778011161.2129955,7.7,361.27734375,6948.787982940674
1778011161.3131196,15.4,364.71484375,6948.787982940674
1778011161.4570432,20.7,367.91796875,6948.787982940674
1778011161.5571637,20.0,374.7109375,6948.787982940674
1778011161.6574366,12.5,376.58984375,6948.787982940674
1778011161.7612534,19.0,381.46484375,6948.787982940674
1778011161.8624425,67.5,385.015625,6948.787982940674
1778011161.9897044,6.1,392.19140625,6948.787982940674
1778011162.0909524,12.2,397.15234375,6948.787982940674
1778011162.1914246,7.7,402.1875,6948.787982940674
1778011162.2916954,9.8,408.4453125,6948.787982940674
1778011162.3967338,9.5,418.37890625,6948.787982940674
1778011162.498812,26.2,422.69921875,6948.787982940674
1778011162.5989788,22.5,422.69921875,6948.787982940674
1778011162.6993754,0.0,422.80859375,6948.787982940674
1778011162.799551,0.0,422.80859375,6948.787982940674
1778011162.9363308,20.4,472.7421875,6948.787982940674
1778011166.891033,24.5,640.20703125,6948.787982940674
1778011167.0165133,25.0,643.1640625,6948.787982940674
1778011169.9705508,25.1,621.5078125,6948.787982940674
1778011170.0707269,0.0,621.5078125,6948.787982940674
1778011170.1709208,0.0,621.5078125,6948.787982940674
1778011170.271124,24.4,629.71875,6948.787982940674
1778011170.371316,12.8,629.93359375,6948.787982940674
1778011170.4714637,7.3,651.09765625,6948.787982940674
1778011170.5736163,10.0,661.99609375,6948.787982940674
1778011170.6738327,7.7,647.65625,6948.787982940674
1778011170.7741404,29.3,672.16796875,6948.787982940674
1778011170.87437,7.5,678.83203125,6948.787982940674
1778011170.9746447,20.5,711.921875,6948.787982940674
1778011171.0749571,34.1,739.14453125,6948.787982940674
1778011171.1752055,20.0,766.28125,6948.787982940674
1778011171.275531,40.0,787.15625,6948.787982940674
1778011171.375777,15.4,815.78125,6948.787982940674
1778011171.4760072,0.0,828.1015625,6948.787982940674
1778011171.5762954,25.0,835.09375,6948.787982940674
1778011171.676581,30.0,853.03515625,6948.787982940674
1778011171.776883,27.5,864.9921875,6948.787982940674
1778011171.8771155,4.9,879.0546875,6948.787982940674
1778011171.9773414,22.5,891.7421875,6948.787982940674
1778011172.0775805,7.1,904.4921875,6948.787982940674
1778011172.1778026,2.5,916.9921875,6948.787982940674
1778011172.2780144,7.1,929.4921875,6948.787982940674
1778011172.3782456,45.0,930.8671875,6948.787982940674
1778011172.478477,5.0,954.8046875,6948.787982940674
1778011172.5786698,0.0,967.1796875,6948.787982940674
1778011172.6789775,27.5,978.8046875,6948.787982940674
1778011172.7792919,50.0,1026.7421875,6948.787982940674
1778011172.879585,50.0,1070.9296875,6948.787982940674
1778011172.9799204,50.0,1122.4375,6948.787982940674
1778011173.0802157,50.0,1170.375,6948.787982940674
1778011173.180541,48.8,1218.3125,6948.787982940674
1778011173.2807534,48.7,1260.54296875,6948.787982940674
1778011173.3810499,48.8,1314.0,6948.787982940674
1778011173.481332,50.0,1361.9375,6948.787982940674
1778011173.5816448,47.5,1409.875,6948.787982940674
1778011173.681931,51.2,1439.6875,6948.787982940674
1778011173.782236,47.5,1505.5625,6948.787982940674
1778011173.882545,50.0,1553.5,6948.787982940674
1778011173.9828494,50.0,1601.4375,6948.787982940674
1778011174.0831113,50.0,1646.4375,6948.787982940674
1778011174.1834278,48.7,1697.125,6948.787982940674
1778011174.283723,50.0,1745.0625,6948.787982940674
1778011174.3840206,50.0,1793.0,6948.787982940674
1778011174.4842827,48.8,1837.6875,6948.787982940674
1778011174.5845883,51.2,1888.6875,6948.787982940674
1778011174.6848884,50.0,1936.625,6948.787982940674
1778011174.7851856,48.7,1984.5625,6948.787982940674
1778011174.885449,50.0,2032.3125,6948.787982940674
1778011174.9857433,50.0,2080.25,6948.787982940674
1778011175.086038,48.8,2128.1875,6948.787982940674
1778011175.1863258,48.7,2176.125,6948.787982940674
1778011175.2866342,48.8,2223.875,6948.787982940674
1778011175.386914,50.0,2271.8125,6948.787982940674
1778011175.4872046,50.0,2319.75,6948.787982940674
1778011175.5874836,48.7,2367.6875,6948.787982940674
1778011175.6877837,50.0,2415.4453125,6948.787982940674
1778011175.7880857,50.0,2463.3828125,6948.787982940674
1778011175.8883715,50.0,2511.3203125,6948.787982940674
1778011175.9886658,51.2,2559.2578125,6948.787982940674
1778011176.0889328,50.0,2607.0078125,6948.787982940674
1778011176.1892254,50.0,2654.9453125,6948.787982940674
1778011176.2895463,50.0,2702.8828125,6948.787982940674
1778011176.3898613,50.0,2751.8203125,6948.787982940674
1778011176.4901388,50.0,2827.07421875,6948.787982940674
1778011176.5904105,48.8,2883.19921875,6948.787982940674
1778011176.690707,51.2,2942.3828125,6948.787982940674
1778011176.7909791,50.0,2960.32421875,6948.787982940674
1778011176.8912416,50.0,3038.07421875,6948.787982940674
1778011176.9915314,50.0,3086.01171875,6948.787982940674
1778011177.0918112,50.0,3133.9453125,6948.787982940674
1778011177.192091,50.0,3151.88671875,6948.787982940674
1778011177.2923653,50.0,3229.63671875,6948.787982940674
1778011177.3926804,51.2,3277.57421875,6948.787982940674
1778011177.4929576,50.0,3325.5078125,6948.787982940674
1778011177.5932286,50.0,3343.44921875,6948.787982940674
1778011177.6935437,48.7,3421.19921875,6948.787982940674
1778011177.7938354,51.2,3469.13671875,6948.787982940674
1778011177.894125,50.0,3517.07421875,6948.787982940674
1778011177.9943976,50.0,3540.94921875,6948.787982940674
1778011178.0947192,50.0,3612.76171875,6948.787982940674
1778011178.195017,50.0,3660.69921875,6948.787982940674
1778011178.295296,50.0,3708.63671875,6948.787982940674
1778011178.395593,50.0,3738.44921875,6948.787982940674
1778011178.4958854,50.0,3804.32421875,6948.787982940674
1778011178.5961695,50.0,3852.26171875,6948.787982940674
1778011178.696461,50.0,3900.19921875,6948.787982940674
1778011178.7967186,50.0,3943.69921875,6948.787982940674
1778011178.8970249,50.0,3995.88671875,6948.787982940674
1778011178.997321,50.0,4043.82421875,6948.787982940674
1778011179.0976286,50.0,4091.76171875,6948.787982940674
1778011179.1979089,51.2,4139.51171875,6948.787982940674
1778011179.298193,50.0,4187.44921875,6948.787982940674
1778011179.398509,50.0,4235.38671875,6948.787982940674
1778011179.4988089,50.0,4283.32421875,6948.787982940674
1778011179.5990884,50.0,4331.07421875,6948.787982940674
1778011179.6993861,50.0,4379.01171875,6948.787982940674
1778011179.7996912,50.0,4426.94921875,6948.787982940674
1778011179.8999777,50.0,4474.88671875,6948.787982940674
1778011180.0002384,50.0,4522.63671875,6948.787982940674
1778011180.1005597,50.0,4570.57421875,6948.787982940674
1778011180.2008598,50.0,4618.51171875,6948.787982940674
1778011180.301158,50.0,4666.44921875,6948.787982940674
1778011180.4014344,47.5,4714.19921875,6948.787982940674
1778011180.5017297,51.2,4762.13671875,6948.787982940674
1778011180.6020575,48.7,4810.07421875,6948.787982940674
1778011180.7023962,50.0,4858.01171875,6948.787982940674
1778011180.8027318,48.8,4905.76171875,6948.787982940674
1778011180.903038,50.0,4953.69921875,6948.787982940674
1778011181.003345,48.7,5001.63671875,6948.787982940674
1778011181.103679,48.8,5049.57421875,6948.787982940674
1778011181.2039702,48.7,5097.32421875,6948.787982940674
1778011181.3042758,51.2,5145.26171875,6948.787982940674
1778011181.4046288,50.0,5193.19921875,6948.787982940674
1778011181.5050254,50.0,5241.13671875,6948.787982940674
1778011181.605313,47.5,5288.88671875,6948.787982940674
1778011181.7056663,50.0,5336.82421875,6948.787982940674
1778011181.8058987,50.0,5384.76171875,6948.787982940674
1778011181.9062157,48.8,5432.69921875,6948.787982940674
1778011182.0065286,46.2,5480.44921875,6948.787982940674
1778011182.1068392,48.8,5528.38671875,6948.787982940674
1778011182.2071338,50.0,5576.32421875,6948.787982940674
1778011182.3074358,47.5,5624.26171875,6948.787982940674
1778011182.4077222,48.7,5672.01171875,6948.787982940674
1778011182.5080287,51.2,5719.94921875,6948.787982940674
1778011182.6083133,47.6,5767.88671875,6948.787982940674
1778011182.7086186,48.7,5815.82421875,6948.787982940674
1778011182.808905,50.0,5863.57421875,6948.787982940674
1778011182.9091964,50.0,5911.51171875,6948.787982940674
1778011183.0095294,50.0,5959.44921875,6948.787982940674
1778011183.1098585,50.0,6007.38671875,6948.787982940674
1778011183.2101674,30.0,6845.421875,6948.787982940674
1778011183.3104687,40.0,6922.18359375,6948.787982940674
1778011183.4107711,50.0,6922.18359375,6948.787982940674
1778011183.5110662,50.0,6922.18359375,6948.787982940674
1778011183.611382,50.0,6922.18359375,6948.787982940674
1778011183.7117038,51.2,6922.18359375,6948.787982940674
1778011183.8120012,50.0,6922.18359375,6948.787982940674
1778011183.9123015,50.0,6922.18359375,6948.787982940674
1778011184.012669,50.0,6922.18359375,6948.787982940674
1778011184.1129758,50.0,6922.18359375,6948.787982940674
1778011184.2132652,50.0,6922.18359375,6948.787982940674
1778011184.313614,50.0,6922.18359375,6948.787982940674
1778011184.4138951,50.0,6922.18359375,6948.787982940674
1778011184.5141695,50.0,6922.18359375,6948.787982940674
1778011184.6145175,50.0,6922.18359375,6948.787982940674
1778011184.7148008,50.0,6922.18359375,6948.787982940674
1778011184.8150685,51.2,6922.18359375,6948.787982940674
1778011184.915332,50.0,6922.18359375,6948.787982940674
1778011185.0156214,50.0,6922.18359375,6948.787982940674
1778011185.1158879,50.0,6922.18359375,6948.787982940674
1778011185.2161613,50.0,6922.18359375,6948.787982940674
1778011185.3164275,50.0,6922.18359375,6948.787982940674
1778011185.4166965,51.2,6922.18359375,6948.787982940674
1778011185.5169992,50.0,6922.18359375,6948.787982940674
1778011185.6172564,50.0,6922.18359375,6948.787982940674
1778011185.7175486,50.0,6922.18359375,6948.787982940674
1778011185.817815,50.0,6922.18359375,6948.787982940674
1778011185.9181046,50.0,6922.18359375,6948.787982940674
1778011186.0184503,50.0,6922.18359375,6948.787982940674
1778011186.1187322,50.0,6922.18359375,6948.787982940674
1778011186.2190099,50.0,6922.18359375,6948.787982940674
1778011186.3193057,50.0,6922.18359375,6948.787982940674
1778011186.4195983,50.0,6922.2421875,6948.787982940674
1778011186.5198698,50.0,6922.2421875,6948.787982940674
1778011186.6201272,50.0,6922.2421875,6948.787982940674
1778011186.7203968,50.0,6922.2421875,6948.787982940674
1778011186.8206856,51.2,6922.2421875,6948.787982940674
1778011186.9209502,50.0,6922.2421875,6948.787982940674
1778011187.0212169,50.0,6922.2421875,6948.787982940674
1778011187.1214862,50.0,6922.2421875,6948.787982940674
1778011187.221793,50.0,6922.2421875,6948.787982940674
1778011187.322068,50.0,6922.2421875,6948.787982940674
1778011187.4223433,50.0,6922.2421875,6948.787982940674
1778011187.5226393,50.0,6922.2421875,6948.787982940674
1778011187.6229134,50.0,6922.2421875,6948.787982940674
1778011187.7231834,50.0,6922.2421875,6948.787982940674
1778011187.8234766,50.0,6922.2421875,6948.787982940674
1778011187.9237528,50.0,6922.2421875,6948.787982940674
1778011188.0240178,50.0,6922.2421875,6948.787982940674
1778011188.1242943,50.0,6922.2421875,6948.787982940674
1778011188.2246277,50.0,6922.2421875,6948.787982940674
1778011188.3249037,50.0,6922.2421875,6948.787982940674
1778011188.4251764,50.0,6922.2421875,6948.787982940674
1778011188.525456,50.0,6922.2421875,6948.787982940674
1778011188.6256902,51.2,6922.2421875,6948.787982940674
1778011188.7259915,50.0,6922.2421875,6948.787982940674
1778011188.8262649,50.0,6922.2421875,6948.787982940674
1778011188.9265563,50.0,6922.2421875,6948.787982940674
1778011189.0268378,50.0,6922.2421875,6948.787982940674
1778011189.127105,50.0,6922.2421875,6948.787982940674
1778011189.2273858,50.0,6922.2421875,6948.787982940674
