timestamp,cpu_percent,memory_mb,total_time_sec
1778010121.4876254,0.0,257.01953125,890.8164758682251
1778010121.587878,5.0,259.515625,890.8164758682251
1778010121.6882093,7.3,260.41015625,890.8164758682251
1778010121.7884119,7.7,264.0,890.8164758682251
1778010121.8885837,10.0,268.453125,890.8164758682251
1778010121.988763,10.0,272.23046875,890.8164758682251
1778010122.089129,11.9,277.7109375,890.8164758682251
1778010122.1893582,7.7,283.375,890.8164758682251
1778010122.3267295,18.2,288.3828125,890.8164758682251
1778010122.426918,12.5,295.3359375,890.8164758682251
1778010122.5271065,7.5,299.37109375,890.8164758682251
1778010122.6272898,7.7,302.9296875,890.8164758682251
1778010122.7294142,7.5,307.171875,890.8164758682251
1778010123.1731715,2.8,351.81640625,890.8164758682251
1778010123.275603,16.3,355.85546875,890.8164758682251
1778010123.3761663,15.0,359.484375,890.8164758682251
1778010123.476393,10.0,362.1796875,890.8164758682251
1778010123.5765402,17.5,365.62109375,890.8164758682251
1778010123.718865,21.4,368.79296875,890.8164758682251
1778010123.822998,19.0,375.58203125,890.8164758682251
1778010123.92347,14.3,377.4609375,890.8164758682251
1778010124.0264022,17.9,382.36328125,890.8164758682251
1778010124.1269782,67.5,385.9453125,890.8164758682251
1778010124.2524455,7.8,393.16015625,890.8164758682251
1778010124.3525875,12.5,397.78125,890.8164758682251
1778010124.4527123,10.0,403.12109375,890.8164758682251
1778010124.5529003,5.0,408.92578125,890.8164758682251
1778010124.6555758,12.5,413.84765625,890.8164758682251
1778010124.808661,18.0,420.69140625,890.8164758682251
1778010124.9088354,22.0,424.234375,890.8164758682251
1778010125.0090022,2.5,424.30859375,890.8164758682251
1778010125.1091578,0.0,424.30859375,890.8164758682251
1778010125.2256625,22.2,474.265625,890.8164758682251
1778010129.3316698,24.6,641.6328125,890.8164758682251
1778010129.4472487,24.5,643.609375,890.8164758682251
1778010132.4794598,25.0,621.953125,890.8164758682251
1778010132.579612,2.4,621.95703125,890.8164758682251
1778010132.6797802,0.0,621.95703125,890.8164758682251
1778010132.7800758,27.5,630.234375,890.8164758682251
1778010132.880324,10.0,630.4453125,890.8164758682251
1778010132.9806035,7.3,656.359375,890.8164758682251
1778010133.0807908,12.8,631.9453125,890.8164758682251
1778010133.180991,7.5,641.05859375,890.8164758682251
1778010133.2811744,0.0,651.03515625,890.8164758682251
