timestamp,cpu_percent,memory_mb,inference_time
1777516002.9449708,0.0,418.23828125,426.31669783592224
1777516003.0452828,7.5,419.78125,426.31669783592224
1777516003.1455154,2.4,419.79296875,426.31669783592224
1777516003.245707,10.3,451.5390625,426.31669783592224
1777516003.3459399,25.0,518.046875,426.31669783592224
1777516003.446165,25.0,558.609375,426.31669783592224
1777516003.5463426,25.0,614.203125,426.31669783592224
1777516003.646491,25.0,669.2265625,426.31669783592224
1777516003.7466502,24.4,725.05859375,426.31669783592224
1777516003.8468137,25.0,780.95703125,426.31669783592224
1777516003.9470344,25.0,836.87890625,426.31669783592224
1777516004.0472307,25.0,871.6875,426.31669783592224
1777516004.147406,25.0,871.69140625,426.31669783592224
1777516004.2475593,25.0,871.6953125,426.31669783592224
1777516004.3477378,25.0,871.69921875,426.31669783592224
1777516004.4478984,25.0,871.703125,426.31669783592224
1777516004.5481014,26.8,871.71484375,426.31669783592224
1777516004.6486192,23.1,875.0390625,426.31669783592224
1777516004.7488658,39.0,934.05859375,426.31669783592224
1777516004.8491886,33.3,1025.87890625,426.31669783592224
1777516004.9494598,30.0,1088.75,426.31669783592224
1777516005.049736,30.0,1177.13671875,426.31669783592224
1777516005.1499996,34.1,1288.37109375,426.31669783592224
1777516005.2503378,35.0,1380.63671875,426.31669783592224
1777516005.3507025,41.0,1466.5078125,426.31669783592224
1777516005.4509811,37.5,1466.92578125,426.31669783592224
1777516005.5514126,34.1,1466.92578125,426.31669783592224
1777516005.6516948,37.5,1466.92578125,426.31669783592224
1777516005.752087,50.0,1413.2109375,426.31669783592224
1777516005.8523476,47.5,1206.73046875,426.31669783592224
1777516005.9525964,30.0,1279.0078125,426.31669783592224
1777516006.0527804,25.0,1333.48828125,426.31669783592224
1777516006.1530046,25.0,1389.6484375,426.31669783592224
1777516006.253186,25.0,1445.859375,426.31669783592224
1777516006.4434986,25.0,1467.15234375,426.31669783592224
1777516006.5436792,25.0,1523.515625,426.31669783592224
1777516006.6438508,25.0,1579.73828125,426.31669783592224
1777516006.7440078,26.8,1635.90234375,426.31669783592224
1777516006.844161,23.1,1691.984375,426.31669783592224
1777516006.9443102,24.4,1748.12109375,426.31669783592224
1777516007.0444705,25.0,1804.1796875,426.31669783592224
1777516007.144659,25.0,1860.546875,426.31669783592224
1777516007.2448215,25.0,1916.71484375,426.31669783592224
1777516007.3450017,25.0,1973.07421875,426.31669783592224
1777516007.445168,25.0,2029.265625,426.31669783592224
1777516007.5453525,25.0,2085.38671875,426.31669783592224
1777516007.6455147,26.8,2141.390625,426.31669783592224
1777516007.7456691,25.0,2197.515625,426.31669783592224
1777516007.8458183,25.0,2253.68359375,426.31669783592224
1777516007.9459798,23.1,2309.88671875,426.31669783592224
1777516008.0462408,26.8,2366.10546875,426.31669783592224
1777516008.146438,23.1,2422.36328125,426.31669783592224
1777516008.246602,25.0,2478.52734375,426.31669783592224
1777516008.3467858,26.8,2534.78515625,426.31669783592224
1777516008.446961,25.0,2590.8203125,426.31669783592224
1777516008.5471504,25.0,2646.9765625,426.31669783592224
1777516008.6473079,25.0,2703.02734375,426.31669783592224
1777516008.7474618,23.1,2759.32421875,426.31669783592224
1777516008.8476145,26.8,2795.9140625,426.31669783592224
1777516008.9477763,25.0,2795.9140625,426.31669783592224
1777516009.0479224,25.0,2795.9140625,426.31669783592224
1777516009.1481037,25.0,2795.9140625,426.31669783592224
1777516009.2482483,25.0,2795.9140625,426.31669783592224
1777516009.348409,25.0,2795.9140625,426.31669783592224
1777516009.4485576,25.0,2795.9140625,426.31669783592224
1777516009.5487185,25.0,2795.921875,426.31669783592224
1777516009.6488535,25.0,2795.921875,426.31669783592224
1777516009.748991,25.0,2795.921875,426.31669783592224
1777516009.8491373,25.0,2795.921875,426.31669783592224
1777516009.9492831,25.0,2795.92578125,426.31669783592224
1777516010.0494318,25.0,2795.92578125,426.31669783592224
1777516010.149592,25.0,2795.92578125,426.31669783592224
1777516010.2497377,25.0,2795.92578125,426.31669783592224
1777516010.3498888,24.4,2795.92578125,426.31669783592224
1777516010.450065,25.0,2795.92578125,426.31669783592224
1777516010.5502083,25.0,2795.92578125,426.31669783592224
1777516010.6503494,25.0,2795.92578125,426.31669783592224
1777516010.7504878,25.0,2795.92578125,426.31669783592224
1777516010.8506303,25.0,2795.92578125,426.31669783592224
1777516010.950779,25.0,2795.92578125,426.31669783592224
1777516011.0509322,25.0,2799.9375,426.31669783592224
1777516011.151138,26.8,2834.19140625,426.31669783592224
1777516011.2513793,23.1,2885.0390625,426.31669783592224
1777516011.3515623,25.0,2951.6171875,426.31669783592224
1777516011.4517882,32.5,2967.71484375,426.31669783592224
1777516011.5520358,35.0,2971.71484375,426.31669783592224
1777516011.6522746,32.5,2975.46484375,426.31669783592224
1777516011.7525187,40.0,2975.47265625,426.31669783592224
1777516011.852714,24.4,2975.47265625,426.31669783592224
1777516012.1694643,25.4,2558.40625,426.31669783592224
1777516012.2779589,25.6,507.5546875,426.31669783592224
1777516012.3781676,0.0,507.5546875,426.31669783592224
1777516012.4784043,2.5,507.5625,426.31669783592224
1777516012.609097,22.7,520.265625,426.31669783592224
1777516012.7400289,24.5,533.8125,426.31669783592224
1777516013.0258276,25.2,542.65625,426.31669783592224
1777516013.156514,25.0,559.54296875,426.31669783592224
1777516013.2719266,26.0,572.01171875,426.31669783592224
1777516013.3984222,24.5,586.4296875,426.31669783592224
1777516013.6977732,24.5,620.69921875,426.31669783592224
1777516013.7982044,27.9,726.79296875,426.31669783592224
1777516013.8984828,19.5,901.04296875,426.31669783592224
1777516013.9987164,0.0,901.29296875,426.31669783592224
1777516014.0989287,0.0,901.97265625,426.31669783592224
1777516014.1991491,0.0,902.1953125,426.31669783592224
1777516014.299337,0.0,902.75390625,426.31669783592224
1777516014.3995256,0.0,903.125,426.31669783592224
1777516014.4996672,0.0,903.3125,426.31669783592224
1777516014.5998435,0.0,903.4375,426.31669783592224
1777516014.7000327,0.0,903.6875,426.31669783592224
1777516014.800216,0.0,904.0234375,426.31669783592224
1777516014.9004214,0.0,904.19921875,426.31669783592224
1777516015.000601,0.0,904.26171875,426.31669783592224
1777516015.1007886,0.0,904.63671875,426.31669783592224
1777516015.2009778,0.0,905.01171875,426.31669783592224
1777516015.301152,0.0,905.19921875,426.31669783592224
1777516015.4013524,0.0,905.8203125,426.31669783592224
1777516015.5015101,0.0,906.06640625,426.31669783592224
1777516015.6016607,0.0,906.25390625,426.31669783592224
1777516015.701861,0.0,906.5,426.31669783592224
1777516015.8020616,0.0,906.99609375,426.31669783592224
1777516015.9022465,0.0,907.2421875,426.31669783592224
1777516016.0024738,0.0,907.5546875,426.31669783592224
1777516016.1026673,2.4,907.92578125,426.31669783592224
1777516016.2028537,0.0,908.046875,426.31669783592224
1777516016.3030062,0.0,908.35546875,426.31669783592224
1777516016.4032257,0.0,908.78125,426.31669783592224
1777516016.5033894,0.0,908.96875,426.31669783592224
1777516016.6035717,0.0,909.19921875,426.31669783592224
1777516016.7037616,0.0,909.57421875,426.31669783592224
1777516016.8039799,0.0,909.94921875,426.31669783592224
1777516016.9041877,0.0,910.1328125,426.31669783592224
1777516017.0043707,0.0,910.5078125,426.31669783592224
1777516017.1045806,0.0,911.26171875,426.31669783592224
1777516017.20475,0.0,911.61328125,426.31669783592224
1777516017.304942,0.0,911.921875,426.31669783592224
1777516017.4051113,0.0,911.984375,426.31669783592224
1777516017.5052948,0.0,912.046875,426.31669783592224
1777516017.6054752,0.0,912.234375,426.31669783592224
1777516017.7056465,0.0,912.48046875,426.31669783592224
1777516017.8058398,2.4,913.25390625,426.31669783592224
1777516017.9060376,0.0,913.25390625,426.31669783592224
1777516018.0062394,0.0,914.19140625,426.31669783592224
1777516018.1064246,0.0,914.640625,426.31669783592224
1777516018.206582,0.0,914.88671875,426.31669783592224
1777516018.306792,0.0,915.01171875,426.31669783592224
1777516018.4069753,0.0,915.4765625,426.31669783592224
1777516018.5071797,0.0,915.6640625,426.31669783592224
1777516018.6073356,0.0,915.8515625,426.31669783592224
1777516018.7074947,0.0,915.9140625,426.31669783592224
1777516018.8076782,0.0,916.30859375,426.31669783592224
1777516018.9078448,0.0,916.37109375,426.31669783592224
1777516019.0080926,0.0,916.796875,426.31669783592224
1777516019.108315,2.4,917.484375,426.31669783592224
1777516019.208506,0.0,917.671875,426.31669783592224
1777516019.308696,0.0,917.734375,426.31669783592224
1777516019.4088843,0.0,918.04296875,426.31669783592224
1777516019.509029,0.0,918.04296875,426.31669783592224
