timestamp,cpu_percent,memory_mb,inference_time
1777566673.3292403,0.0,418.5234375,219.57871389389038
1777566673.4294407,3.7,420.03515625,219.57871389389038
1777566673.5296025,0.0,420.0390625,219.57871389389038
1777566673.6299021,5.0,454.39453125,219.57871389389038
1777566673.7301676,12.5,534.46875,219.57871389389038
1777566673.830458,12.5,588.6484375,219.57871389389038
1777566673.930876,13.4,659.59375,219.57871389389038
1777566674.0311234,12.5,731.21875,219.57871389389038
1777566674.131365,12.5,802.7421875,219.57871389389038
1777566674.231594,11.4,871.63671875,219.57871389389038
1777566674.331849,12.5,871.89453125,219.57871389389038
1777566674.4320922,12.5,871.90234375,219.57871389389038
1777566674.5323522,12.3,871.90625,219.57871389389038
1777566674.632751,12.5,871.91796875,219.57871389389038
1777566674.7330997,13.6,875.47265625,219.57871389389038
1777566674.8333504,35.0,969.16796875,219.57871389389038
1777566674.9336493,22.2,1077.44921875,219.57871389389038
1777566675.0339355,17.5,1184.83984375,219.57871389389038
1777566675.1342452,26.2,1349.52734375,219.57871389389038
1777566675.2345517,37.0,1467.06640625,219.57871389389038
1777566675.3349166,37.5,1467.06640625,219.57871389389038
1777566675.4352145,30.4,1467.06640625,219.57871389389038
1777566675.5354877,44.4,1284.109375,219.57871389389038
1777566675.6357915,32.5,1230.3828125,219.57871389389038
1777566675.7360818,18.5,1322.6484375,219.57871389389038
1777566675.8708484,12.1,1330.984375,219.57871389389038
1777566675.971067,12.5,1403.47265625,219.57871389389038
1777566676.0712757,12.5,1475.71875,219.57871389389038
1777566676.1715062,13.6,1547.5078125,219.57871389389038
1777566676.2717407,12.3,1619.77734375,219.57871389389038
1777566676.371952,12.5,1690.65234375,219.57871389389038
1777566676.4721658,11.4,1762.5703125,219.57871389389038
1777566676.5723913,13.6,1835.01953125,219.57871389389038
1777566676.6726687,12.5,1906.3671875,219.57871389389038
1777566676.7728887,12.5,1977.4140625,219.57871389389038
1777566676.8731134,12.5,2048.8515625,219.57871389389038
1777566676.9733353,12.3,2120.79296875,219.57871389389038
1777566677.0736682,12.5,2192.640625,219.57871389389038
1777566677.173885,12.5,2264.71875,219.57871389389038
1777566677.274112,12.5,2336.73046875,219.57871389389038
1777566677.3743172,12.5,2407.828125,219.57871389389038
1777566677.4746048,12.5,2478.83203125,219.57871389389038
1777566677.5748672,12.5,2550.3203125,219.57871389389038
1777566677.6750934,12.3,2622.03125,219.57871389389038
1777566677.775295,13.6,2694.0703125,219.57871389389038
1777566677.875572,12.5,2766.00390625,219.57871389389038
1777566677.9757862,12.5,2795.796875,219.57871389389038
1777566678.0760164,12.5,2795.796875,219.57871389389038
1777566678.1762254,12.5,2795.796875,219.57871389389038
1777566678.276503,12.5,2795.796875,219.57871389389038
1777566678.376765,12.3,2795.796875,219.57871389389038
1777566678.4769998,12.5,2795.796875,219.57871389389038
1777566678.5772226,12.5,2795.796875,219.57871389389038
1777566678.6774366,12.5,2795.796875,219.57871389389038
1777566678.7777035,12.5,2795.796875,219.57871389389038
1777566678.8779218,12.5,2795.80078125,219.57871389389038
1777566678.9782186,12.5,2795.80078125,219.57871389389038
1777566679.078513,12.3,2795.8046875,219.57871389389038
1777566679.1787639,12.5,2795.8046875,219.57871389389038
1777566679.278988,12.5,2795.8046875,219.57871389389038
1777566679.3792057,12.5,2795.8046875,219.57871389389038
1777566679.4794285,12.5,2795.8046875,219.57871389389038
1777566679.5796793,12.5,2795.8046875,219.57871389389038
1777566679.6798809,12.5,2798.77734375,219.57871389389038
1777566679.780066,12.5,2834.7109375,219.57871389389038
1777566679.880294,12.3,2912.4609375,219.57871389389038
1777566679.9806807,13.8,2959.6015625,219.57871389389038
1777566680.080946,34.6,2971.6015625,219.57871389389038
1777566680.1812446,24.1,2975.3515625,219.57871389389038
1777566680.28154,27.5,2975.35546875,219.57871389389038
1777566680.3817728,12.5,2975.35546875,219.57871389389038
1777566680.6234086,12.4,2558.2890625,219.57871389389038
1777566680.8194568,12.4,507.4375,219.57871389389038
1777566680.9196332,1.2,507.4375,219.57871389389038
1777566681.019786,1.3,507.4453125,219.57871389389038
1777566681.1505666,10.8,522.0546875,219.57871389389038
1777566681.4304218,12.4,534.78515625,219.57871389389038
1777566681.5592952,12.4,557.95703125,219.57871389389038
1777566681.6748743,12.4,572.296875,219.57871389389038
1777566681.866698,12.8,592.38671875,219.57871389389038
1777566682.0173726,12.8,620.58203125,219.57871389389038
1777566682.1177099,29.3,914.65625,219.57871389389038
1777566682.2180765,50.0,1215.48828125,219.57871389389038
1777566682.318455,50.0,1526.30078125,219.57871389389038
1777566682.4188411,50.6,1814.23828125,219.57871389389038
1777566682.5192053,50.0,2116.11328125,219.57871389389038
1777566682.6195505,50.0,2417.05078125,219.57871389389038
1777566682.719901,50.0,2471.95703125,219.57871389389038
1777566682.8201926,50.0,2472.08203125,219.57871389389038
1777566682.9204867,50.0,2472.20703125,219.57871389389038
1777566683.0208132,50.6,2472.51953125,219.57871389389038
1777566683.1211324,50.0,2472.83203125,219.57871389389038
1777566683.221437,50.0,2473.26953125,219.57871389389038
1777566683.3217692,50.0,2473.64453125,219.57871389389038
1777566683.422069,50.0,2474.14453125,219.57871389389038
1777566683.522384,50.6,2474.70703125,219.57871389389038
1777566683.6227262,49.4,2475.08203125,219.57871389389038
1777566683.7230532,50.0,2475.51953125,219.57871389389038
1777566683.8234856,50.0,2476.01953125,219.57871389389038
1777566683.9237952,50.6,2476.45703125,219.57871389389038
1777566684.0241263,50.0,2476.890625,219.57871389389038
1777566684.1244192,49.4,2477.265625,219.57871389389038
1777566684.2247393,50.0,2477.828125,219.57871389389038
1777566684.3250604,50.6,2478.140625,219.57871389389038
1777566684.4253597,50.0,2478.515625,219.57871389389038
1777566684.525745,50.0,2479.01171875,219.57871389389038
1777566684.626246,50.0,2479.5078125,219.57871389389038
1777566684.726565,50.0,2480.2578125,219.57871389389038
1777566684.8268628,50.0,2480.5703125,219.57871389389038
1777566684.9271812,50.0,2480.8828125,219.57871389389038
1777566685.0275056,49.4,2481.1953125,219.57871389389038
1777566685.1278381,50.6,2481.5078125,219.57871389389038
1777566685.22814,50.6,2481.9453125,219.57871389389038
1777566685.328443,50.0,2482.2578125,219.57871389389038
1777566685.4288628,50.0,2482.875,219.57871389389038
1777566685.5291646,50.0,2483.375,219.57871389389038
1777566685.6294763,50.0,2483.5625,219.57871389389038
1777566685.7297916,50.6,2483.875,219.57871389389038
1777566685.8301017,49.4,2484.25,219.57871389389038
1777566685.9303942,50.0,2484.49609375,219.57871389389038
1777566686.0307271,50.0,2484.68359375,219.57871389389038
1777566686.1310468,50.6,2484.93359375,219.57871389389038
1777566686.231366,50.0,2485.24609375,219.57871389389038
1777566686.331723,50.0,2485.43359375,219.57871389389038
1777566686.432009,50.0,2486.12109375,219.57871389389038
1777566686.532314,50.0,2486.37109375,219.57871389389038
1777566686.6326392,50.0,2486.62109375,219.57871389389038
1777566686.7329288,50.0,2486.9296875,219.57871389389038
1777566686.8332357,49.4,2487.1171875,219.57871389389038
1777566686.9335485,50.0,2487.3046875,219.57871389389038
1777566687.0338674,50.6,2487.5546875,219.57871389389038
1777566687.1341748,50.0,2487.86328125,219.57871389389038
1777566687.234479,50.0,2488.17578125,219.57871389389038
1777566687.3348022,50.0,2488.36328125,219.57871389389038
1777566687.435178,50.0,2488.61328125,219.57871389389038
1777566687.5354784,50.0,2488.85546875,219.57871389389038
1777566687.6358001,50.6,2488.98046875,219.57871389389038
1777566687.7361498,50.0,2489.16796875,219.57871389389038
1777566687.8364806,50.0,2489.37890625,219.57871389389038
1777566687.936793,50.0,2489.59765625,219.57871389389038
1777566688.0370994,50.6,2489.90625,219.57871389389038
1777566688.1374278,50.0,2490.09375,219.57871389389038
1777566688.2377694,50.0,2490.28125,219.57871389389038
1777566688.3380811,50.0,2490.65625,219.57871389389038
1777566688.438383,49.4,2490.65625,219.57871389389038
1777566688.5387037,50.0,2490.84375,219.57871389389038
1777566688.6390238,50.6,2491.09375,219.57871389389038
1777566688.7393258,50.0,2491.46875,219.57871389389038
1777566688.8396409,50.0,2491.59375,219.57871389389038
1777566688.939943,50.0,2491.65625,219.57871389389038
1777566689.0403793,50.0,2491.90625,219.57871389389038
1777566689.1407273,50.0,2492.15625,219.57871389389038
1777566689.24107,50.0,2492.34375,219.57871389389038
1777566689.3414452,50.0,2494.765625,219.57871389389038
1777566689.4417615,50.6,2494.890625,219.57871389389038
1777566689.5421267,50.0,2495.078125,219.57871389389038
1777566689.6424253,50.0,2495.265625,219.57871389389038
1777566689.7427893,50.0,2495.51171875,219.57871389389038
1777566689.8431113,50.0,2495.76171875,219.57871389389038
1777566689.943414,49.4,2496.01171875,219.57871389389038
1777566690.0437336,50.0,2496.26171875,219.57871389389038
1777566690.144045,50.6,2496.6328125,219.57871389389038
1777566690.244332,50.0,2497.12890625,219.57871389389038
1777566690.3447068,50.0,2497.37890625,219.57871389389038
1777566690.4450922,50.0,2498.37109375,219.57871389389038
1777566690.545513,50.0,2498.765625,219.57871389389038
1777566690.645836,50.6,2499.015625,219.57871389389038
1777566690.7461607,50.0,2499.1015625,219.57871389389038
1777566690.8464587,50.0,2499.30859375,219.57871389389038
1777566690.946941,50.0,2499.51171875,219.57871389389038
1777566691.0472476,50.0,2499.60546875,219.57871389389038
1777566691.1475646,50.0,2499.73046875,219.57871389389038
1777566691.247876,50.0,2500.59375,219.57871389389038
1777566691.348299,49.4,2502.2265625,219.57871389389038
1777566691.4485984,50.0,2503.26171875,219.57871389389038
1777566691.5489159,50.6,2503.44921875,219.57871389389038
1777566691.6492267,50.0,2503.57421875,219.57871389389038
1777566691.7495346,50.0,2503.82421875,219.57871389389038
1777566691.8498535,50.6,2504.1953125,219.57871389389038
1777566691.9502754,50.0,2505.31640625,219.57871389389038
1777566692.0506246,50.0,2506.17578125,219.57871389389038
1777566692.1509953,50.0,2506.41015625,219.57871389389038
1777566692.2513118,50.0,2506.59375,219.57871389389038
1777566692.3516738,50.0,2506.8984375,219.57871389389038
1777566692.4520414,50.6,2507.8515625,219.57871389389038
1777566692.55235,50.0,2508.15625,219.57871389389038
1777566692.6526895,50.0,2508.40234375,219.57871389389038
1777566692.7530718,50.0,2508.5859375,219.57871389389038
1777566692.853484,49.4,2511.125,219.57871389389038
1777566692.9538407,50.0,2512.03515625,219.57871389389038
1777566693.054147,50.0,2515.73828125,219.57871389389038
1777566693.1544392,50.0,2515.921875,219.57871389389038
1777566693.2547646,50.6,2516.140625,219.57871389389038
1777566693.355101,50.0,2516.3671875,219.57871389389038
1777566693.4554243,50.0,2516.4921875,219.57871389389038
1777566693.5557542,50.6,2517.53125,219.57871389389038
1777566693.65607,49.4,2521.171875,219.57871389389038
1777566693.7563684,50.0,2521.17578125,219.57871389389038
1777566693.8567145,50.0,2521.30078125,219.57871389389038
1777566693.9570103,50.6,2521.36328125,219.57871389389038
1777566694.0573537,50.0,2521.55078125,219.57871389389038
1777566694.1577804,50.0,2521.67578125,219.57871389389038
1777566694.2582083,50.0,2521.6796875,219.57871389389038
1777566694.3585258,50.0,2521.7421875,219.57871389389038
1777566694.459019,50.0,2521.9296875,219.57871389389038
1777566694.5593634,50.0,2522.0546875,219.57871389389038
1777566694.6596744,50.0,2523.07421875,219.57871389389038
1777566694.7599897,50.0,2525.8984375,219.57871389389038
1777566694.8604093,50.0,2527.8125,219.57871389389038
1777566694.9607394,50.0,2527.9375,219.57871389389038
1777566695.0610793,50.6,2528.0,219.57871389389038
1777566695.1613967,50.0,2528.36328125,219.57871389389038
1777566695.2617822,50.0,2528.640625,219.57871389389038
1777566695.3621626,50.6,2528.703125,219.57871389389038
1777566695.4625125,50.0,2528.9921875,219.57871389389038
1777566695.5628257,49.4,2529.21484375,219.57871389389038
1777566695.6632304,50.0,2529.27734375,219.57871389389038
1777566695.763551,50.0,2529.27734375,219.57871389389038
1777566695.863902,50.0,2530.56640625,219.57871389389038
1777566695.9642177,51.2,2530.98828125,219.57871389389038
1777566696.0645194,50.0,2531.21875,219.57871389389038
1777566696.1648457,50.6,2531.21875,219.57871389389038
1777566696.2651577,50.0,2531.38671875,219.57871389389038
1777566696.3655162,50.0,2531.55078125,219.57871389389038
1777566696.4658787,50.0,2531.828125,219.57871389389038
1777566696.566242,50.0,2532.05078125,219.57871389389038
1777566696.6665554,49.4,2533.05078125,219.57871389389038
1777566696.7669044,50.0,2535.12890625,219.57871389389038
1777566696.8672924,50.0,2535.36328125,219.57871389389038
1777566696.967762,50.6,2535.42578125,219.57871389389038
1777566697.0680578,49.4,2535.7890625,219.57871389389038
1777566697.1683686,50.0,2535.7890625,219.57871389389038
1777566697.2687826,50.6,2535.8515625,219.57871389389038
1777566697.3691146,50.0,2536.1015625,219.57871389389038
1777566697.4694185,50.0,2536.1640625,219.57871389389038
1777566697.5697632,50.0,2536.2265625,219.57871389389038
1777566697.670063,50.0,2536.2265625,219.57871389389038
1777566697.7703917,50.0,2536.2890625,219.57871389389038
1777566697.870829,50.6,2536.2890625,219.57871389389038
1777566697.9711366,50.0,2536.3515625,219.57871389389038
1777566698.071553,50.0,2536.3515625,219.57871389389038
1777566698.1718743,50.0,2536.4765625,219.57871389389038
1777566698.2721703,50.0,2536.4765625,219.57871389389038
1777566698.372479,50.0,2536.5390625,219.57871389389038
1777566698.472826,50.0,2536.59765625,219.57871389389038
1777566698.57327,50.0,2538.73046875,219.57871389389038
1777566698.6735754,50.0,2538.79296875,219.57871389389038
1777566698.7738743,50.0,2538.97265625,219.57871389389038
1777566698.8741698,50.0,2539.03515625,219.57871389389038
1777566698.9744945,50.0,2539.09765625,219.57871389389038
1777566699.0748353,50.6,2541.66015625,219.57871389389038
1777566699.1751924,49.4,2541.7890625,219.57871389389038
1777566699.2755415,50.0,2541.7890625,219.57871389389038
1777566699.3758442,50.6,2541.7890625,219.57871389389038
1777566699.4762025,50.0,2541.7890625,219.57871389389038
1777566699.5764947,50.0,2541.8515625,219.57871389389038
